Company,Ticker,Market_Cap_Trillion_USD,Stock_Price_USD,Revenue_2024_Billion_USD,AI_Revenue_Percent,Employees,Headquarters,Sector,AI_Focus_Area,R&D_Spending_Billion_USD,Growth_Rate_2024_Percent,P_E_Ratio,Dividend_Yield_Percent,52_Week_High_USD,52_Week_Low_USD,Beta,ESG_Score,AI_Patents_Count,Cloud_Revenue_Billion_USD,GPU_Market_Share_Percent
NVIDIA,NVDA,4.44,1150.0,242.5,85,29600,Santa Clara CA,Semiconductors,AI Chips,8.7,122.4,75.2,0.03,1200.0,108.0,1.65,B,3847,14.5,88
Microsoft,MSFT,3.18,429.0,245.1,35,228000,Redmond WA,Software,Cloud AI,29.5,16.5,35.8,0.68,468.0,362.0,0.89,A,2156,125.0,0
Apple,AAPL,3.15,201.0,383.3,8,164000,Cupertino CA,Consumer Electronics,AI Integration,31.9,2.1,31.2,0.44,237.0,164.0,1.24,A,1523,7.2,0
Alphabet,GOOGL,2.08,168.0,307.4,45,182000,Mountain View CA,Internet Services,AI Search,39.5,13.8,23.4,0.00,191.0,129.0,1.05,B,4521,33.1,0
Amazon,AMZN,1.89,181.0,574.8,15,1541000,Seattle WA,E-commerce,Cloud AI,85.9,11.2,45.6,0.00,201.0,118.0,1.33,C,1897,96.1,0
Meta,META,1.38,542.0,134.9,25,77805,Menlo Park CA,Social Media,AI Content,38.5,37.6,25.8,0.37,542.0,274.0,1.18,C,2834,0.0,0
Tesla,TSLA,0.82,256.0,96.8,30,140473,Austin TX,Electric Vehicles,Autonomous AI,3.1,-15.2,89.4,0.00,414.0,142.0,2.09,B,1245,0.0,0
Broadcom,AVGO,0.72,166.0,51.0,45,26000,San Jose CA,Semiconductors,AI Infrastructure,5.8,47.3,31.2,1.88,185.0,95.0,1.45,B,892,0.0,0
Oracle,ORCL,0.52,187.0,53.8,40,164000,Austin TX,Enterprise Software,Cloud AI,7.2,6.8,45.2,1.06,127.0,99.0,1.12,B,756,14.1,0
Taiwan Semiconductor,TSM,0.87,168.0,75.9,60,76476,Hsinchu Taiwan,Semiconductors,AI Chip Manufacturing,4.8,31.2,21.4,1.79,212.0,84.0,1.02,A,1234,0.0,0
Salesforce,CRM,0.28,287.0,34.9,35,79390,San Francisco CA,Cloud Software,CRM AI,2.4,8.9,58.7,0.00,344.0,212.0,1.34,A,567,34.9,0
